"","Accession","Description"
"3262","Q99KU1","Dehydrodolichyl diphosphate synthase complex subunit Dhdds OS=Mus musculus OX=10090 GN=Dhdds PE=2 SV=1"
"3263","Q8K3X4","Probable E3 ubiquitin-protein ligase IRF2BPL OS=Mus musculus OX=10090 GN=Irf2bpl PE=1 SV=1"
"3264","Q9CWZ7","Gamma-soluble NSF attachment protein OS=Mus musculus OX=10090 GN=Napg PE=1 SV=1"
"3265","Q80XI6","Mitogen-activated protein kinase kinase kinase 11 OS=Mus musculus OX=10090 GN=Map3k11 PE=1 SV=1"
"3266","Q8BNY6","Neuronal calcium sensor 1 OS=Mus musculus OX=10090 GN=Ncs1 PE=1 SV=3"
"3267","Q8BYI8","Protein FAM234B OS=Mus musculus OX=10090 GN=Fam234b PE=1 SV=1"
"3268","Q9JI08","Bridging integrator 3 OS=Mus musculus OX=10090 GN=Bin3 PE=1 SV=1"
"3269","O35405","Phospholipase D3 OS=Mus musculus OX=10090 GN=Pld3 PE=1 SV=1"
"3270","Q05D44","Eukaryotic translation initiation factor 5B OS=Mus musculus OX=10090 GN=Eif5b PE=1 SV=2"
"3271","Q9JHH9","Coatomer subunit zeta-2 OS=Mus musculus OX=10090 GN=Copz2 PE=1 SV=1"
"3272","Q8BWQ6","VPS35 endosomal protein sorting factor-like OS=Mus musculus OX=10090 GN=Vps35l PE=1 SV=2"
"3273","P63139","Nuclear transcription factor Y subunit beta OS=Mus musculus OX=10090 GN=Nfyb PE=1 SV=1"
"3274","Q0P5X1","Leucine-rich repeat and IQ domain-containing protein 1 OS=Mus musculus OX=10090 GN=Lrriq1 PE=2 SV=2"
"3275","P61161","Actin-related protein 2 OS=Mus musculus OX=10090 GN=Actr2 PE=1 SV=1"
"3276","O08586","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN OS=Mus musculus OX=10090 GN=Pten PE=1 SV=1"
"3277","Q60592","Microtubule-associated serine/threonine-protein kinase 2 OS=Mus musculus OX=10090 GN=Mast2 PE=1 SV=1"
"3278","P58774","Tropomyosin beta chain OS=Mus musculus OX=10090 GN=Tpm2 PE=1 SV=1"
"3279","Q9D312","Keratin, type I cytoskeletal 20 OS=Mus musculus OX=10090 GN=Krt20 PE=1 SV=1"
"3280","Q9WVB0","RNA-binding protein with multiple splicing OS=Mus musculus OX=10090 GN=Rbpms PE=1 SV=2"
"3281","P35550","rRNA 2'-O-methyltransferase fibrillarin OS=Mus musculus OX=10090 GN=Fbl PE=1 SV=2"
"3282","Q9JIC3","DNA cross-link repair 1A protein OS=Mus musculus OX=10090 GN=Dclre1a PE=1 SV=2"
"3283","Q8R3D1","TBC1 domain family member 13 OS=Mus musculus OX=10090 GN=Tbc1d13 PE=1 SV=1"
"3284","Q6PGC1","ATP-dependent RNA helicase DHX29 OS=Mus musculus OX=10090 GN=Dhx29 PE=1 SV=1"
"3285","Q9ERE2","Keratin, type II cuticular Hb1 OS=Mus musculus OX=10090 GN=Krt81 PE=2 SV=2"
"3286","Q99K23","Ufm1-specific protease 2 OS=Mus musculus OX=10090 GN=Ufsp2 PE=1 SV=1"
"3287","P97823","Acyl-protein thioesterase 1 OS=Mus musculus OX=10090 GN=Lypla1 PE=1 SV=1"
"3288","Q99KU0","Vacuole membrane protein 1 OS=Mus musculus OX=10090 GN=Vmp1 PE=1 SV=2"
"3289","Q9WVG6","Histone-arginine methyltransferase CARM1 OS=Mus musculus OX=10090 GN=Carm1 PE=1 SV=2"
"3290","Q8R1K1","Ubiquitin-associated domain-containing protein 2 OS=Mus musculus OX=10090 GN=Ubac2 PE=1 SV=1"
"3291","Q8C4H2","Sterile alpha motif domain-containing protein 3 OS=Mus musculus OX=10090 GN=Samd3 PE=2 SV=3"
"3292","Q9WVP6","Poly(A) polymerase beta OS=Mus musculus OX=10090 GN=Papolb PE=1 SV=2"
"3293","Q8C1B7","Septin-11 OS=Mus musculus OX=10090 GN=Sept11 PE=1 SV=4"
"3294","P84099","60S ribosomal protein L19 OS=Mus musculus OX=10090 GN=Rpl19 PE=1 SV=1"
"3295","Q9WTX8","Mitotic spindle assembly checkpoint protein MAD1 OS=Mus musculus OX=10090 GN=Mad1l1 PE=1 SV=1"
"3296","P60229","Eukaryotic translation initiation factor 3 subunit E OS=Mus musculus OX=10090 GN=Eif3e PE=1 SV=1"
"3297","Q80YR2","Protein FAM160B2 OS=Mus musculus OX=10090 GN=Fam160b2 PE=1 SV=2"
"3298","Q80XR2","Calcium-transporting ATPase type 2C member 1 OS=Mus musculus OX=10090 GN=Atp2c1 PE=1 SV=2"
"3299","Q60597","2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Ogdh PE=1 SV=3"
"3300","Q8BTC1","Uncharacterized protein C12orf73 homolog OS=Mus musculus OX=10090 PE=3 SV=1"
"3301","Q99M73","Keratin, type II cuticular Hb4 OS=Mus musculus OX=10090 GN=Krt84 PE=2 SV=2"
"3302","O08749","Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Dld PE=1 SV=2"
"3303","Q3UKC1","Tax1-binding protein 1 homolog OS=Mus musculus OX=10090 GN=Tax1bp1 PE=1 SV=2"
"3304","Q8VHH5","Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 OS=Mus musculus OX=10090 GN=Agap3 PE=1 SV=1"
"3305","A2AJI0","MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1"
"3306","Q921Y2","U3 small nucleolar ribonucleoprotein protein IMP3 OS=Mus musculus OX=10090 GN=Imp3 PE=2 SV=1"
"3307","Q921G7","Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus OX=10090 GN=Etfdh PE=1 SV=1"
"3308","Q9CQ28","Diphthine--ammonia ligase OS=Mus musculus OX=10090 GN=Dph6 PE=1 SV=1"
"3309","B2RWS6","Histone acetyltransferase p300 OS=Mus musculus OX=10090 GN=Ep300 PE=1 SV=2"
"3310","Q9CQA6","Coiled-coil-helix-coiled-coil-helix domain-containing protein 1 OS=Mus musculus OX=10090 GN=Chchd1 PE=1 SV=1"
"3311","Q80YU0","Protein ABHD16B OS=Mus musculus OX=10090 GN=Abhd16b PE=2 SV=1"
"3312","Q9CQT9","Uncharacterized protein RAB5IF homolog OS=Mus musculus OX=10090 GN=Rab5if PE=2 SV=1"
"3313","Q8BMD6","Transmembrane protein 260 OS=Mus musculus OX=10090 GN=Tmem260 PE=2 SV=2"
"3314","Q99JI6","Ras-related protein Rap-1b OS=Mus musculus OX=10090 GN=Rap1b PE=1 SV=2"
"3315","Q80TS8","Protein sel-1 homolog 3 OS=Mus musculus OX=10090 GN=Sel1l3 PE=2 SV=3"
"3316","Q78HU7","Glycophorin-C OS=Mus musculus OX=10090 GN=Gypc PE=1 SV=2"
"3317","P63042","Stathmin-4 OS=Mus musculus OX=10090 GN=Stmn4 PE=2 SV=1"
"3318","Q9QX15","Calcium-activated chloride channel regulator 3A-1 OS=Mus musculus OX=10090 GN=Clca3a1 PE=1 SV=1"
"3319","Q8R4U7","Leucine zipper protein 1 OS=Mus musculus OX=10090 GN=Luzp1 PE=1 SV=2"
"3320","Q8BP56","Protein-glucosylgalactosylhydroxylysine glucosidase OS=Mus musculus OX=10090 GN=Pgghg PE=1 SV=1"
"3321","Q8C547","HEAT repeat-containing protein 5B OS=Mus musculus OX=10090 GN=Heatr5b PE=1 SV=3"
"3322","Q80XA6","RalBP1-associated Eps domain-containing protein 2 OS=Mus musculus OX=10090 GN=Reps2 PE=1 SV=1"
"3323","P61294","Ras-related protein Rab-6B OS=Mus musculus OX=10090 GN=Rab6b PE=1 SV=1"
"3324","Q80ZJ7","Sorting nexin-32 OS=Mus musculus OX=10090 GN=Snx32 PE=2 SV=1"
"3325","Q9R1E6","Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 OS=Mus musculus OX=10090 GN=Enpp2 PE=1 SV=3"
"3326","Q923B3","Neurotrophin receptor-interacting factor 1 OS=Mus musculus OX=10090 GN=Nrif1 PE=1 SV=3"
"3327","Q60772","Cyclin-dependent kinase 4 inhibitor C OS=Mus musculus OX=10090 GN=Cdkn2c PE=1 SV=1"
"3328","P0DOV1","Interferon-activable protein 205-B OS=Mus musculus OX=10090 GN=Mnda PE=1 SV=1"
"3329","Q8CBH5","Major facilitator superfamily domain-containing protein 6 OS=Mus musculus OX=10090 GN=Mfsd6 PE=1 SV=1"
"3330","Q921F4","Heterogeneous nuclear ribonucleoprotein L-like OS=Mus musculus OX=10090 GN=Hnrnpll PE=1 SV=3"
"3331","Q80U59","Uncharacterized protein KIAA0232 OS=Mus musculus OX=10090 GN=Kiaa0232 PE=1 SV=2"
"3332","Q3UFY7","7-methylguanosine phosphate-specific 5'-nucleotidase OS=Mus musculus OX=10090 GN=Nt5c3b PE=1 SV=3"
"3333","P51954","Serine/threonine-protein kinase Nek1 OS=Mus musculus OX=10090 GN=Nek1 PE=1 SV=2"
"3334","P12849","cAMP-dependent protein kinase type I-beta regulatory subunit OS=Mus musculus OX=10090 GN=Prkar1b PE=1 SV=2"
"3335","Q91YQ5","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus OX=10090 GN=Rpn1 PE=1 SV=1"
"3336","O35372","Protein cornichon homolog 1 OS=Mus musculus OX=10090 GN=Cnih1 PE=2 SV=2"
"3337","A2A6Q5","Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1"
"3338","Q9WV54","Acid ceramidase OS=Mus musculus OX=10090 GN=Asah1 PE=1 SV=1"
"3339","Q9DCU9","4-hydroxy-2-oxoglutarate aldolase, mitochondrial OS=Mus musculus OX=10090 GN=Hoga1 PE=1 SV=1"
"3340","Q3V009","Transmembrane emp24 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Tmed1 PE=1 SV=1"
"3341","E9Q4P1","WD repeat and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wdfy1 PE=1 SV=1"
"3342","Q3V0K9","Plastin-1 OS=Mus musculus OX=10090 GN=Pls1 PE=1 SV=1"
"3343","Q8C078","Calcium/calmodulin-dependent protein kinase kinase 2 OS=Mus musculus OX=10090 GN=Camkk2 PE=1 SV=2"
"3344","Q8BFR4","N-acetylglucosamine-6-sulfatase OS=Mus musculus OX=10090 GN=Gns PE=1 SV=1"
"3345","Q9DC22","DDB1- and CUL4-associated factor 6 OS=Mus musculus OX=10090 GN=Dcaf6 PE=1 SV=1"
"3346","Q8C0P0","Serine/threonine-protein kinase greatwall OS=Mus musculus OX=10090 GN=Mastl PE=2 SV=2"
"3347","Q7TSS2","Ubiquitin-conjugating enzyme E2 Q1 OS=Mus musculus OX=10090 GN=Ube2q1 PE=1 SV=2"
"3348","Q8BGU5","Cyclin-Y OS=Mus musculus OX=10090 GN=Ccny PE=1 SV=1"
"3349","Q8R4P9","Multidrug resistance-associated protein 7 OS=Mus musculus OX=10090 GN=Abcc10 PE=1 SV=1"
"3350","P23953","Carboxylesterase 1C OS=Mus musculus OX=10090 GN=Ces1c PE=1 SV=4"
"3351","Q499X9","Methionine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Mars2 PE=1 SV=2"
"3352","Q62077","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 OS=Mus musculus OX=10090 GN=Plcg1 PE=1 SV=2"
"3353","cRAP072","Keratin, type II cuticular Hb5 OS=Homo sapiens GN=KRT85 PE=1 SV=1"
"3354","Q5SF07","Insulin-like growth factor 2 mRNA-binding protein 2 OS=Mus musculus OX=10090 GN=Igf2bp2 PE=1 SV=1"
"3355","O70554","Small proline-rich protein 2B OS=Mus musculus OX=10090 GN=Sprr2b PE=2 SV=1"
"3356","P61022","Calcineurin B homologous protein 1 OS=Mus musculus OX=10090 GN=Chp1 PE=1 SV=2"
"3357","Q9R1X5","Multidrug resistance-associated protein 5 OS=Mus musculus OX=10090 GN=Abcc5 PE=1 SV=2"
"3358","O08688","Calpain-5 OS=Mus musculus OX=10090 GN=Capn5 PE=1 SV=1"
"3359","Q9Z175","Lysyl oxidase homolog 3 OS=Mus musculus OX=10090 GN=Loxl3 PE=1 SV=2"
"3360","Q9QWI6","SRC kinase signaling inhibitor 1 OS=Mus musculus OX=10090 GN=Srcin1 PE=1 SV=2"
"3361","Q5U419","Major facilitator superfamily domain-containing protein 3 OS=Mus musculus OX=10090 GN=Mfsd3 PE=2 SV=1"
"3362","P18653","Ribosomal protein S6 kinase alpha-1 OS=Mus musculus OX=10090 GN=Rps6ka1 PE=1 SV=1"
"3363","Q9ERK4","Exportin-2 OS=Mus musculus OX=10090 GN=Cse1l PE=1 SV=1"
"3364","Q9CZD3","Glycine--tRNA ligase OS=Mus musculus OX=10090 GN=Gars PE=1 SV=1"
"3365","Q9CZA6","Nuclear distribution protein nudE homolog 1 OS=Mus musculus OX=10090 GN=Nde1 PE=1 SV=1"
"3366","P62874","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Mus musculus OX=10090 GN=Gnb1 PE=1 SV=3"
"3367","Q9CZP7","Hsp90 co-chaperone Cdc37-like 1 OS=Mus musculus OX=10090 GN=Cdc37l1 PE=1 SV=1"
"3368","Q9JKV5","Secretory carrier-associated membrane protein 4 OS=Mus musculus OX=10090 GN=Scamp4 PE=1 SV=1"
"3369","Q9CQU0","Thioredoxin domain-containing protein 12 OS=Mus musculus OX=10090 GN=Txndc12 PE=1 SV=1"
"3370","Q80TN5","Palmitoyltransferase ZDHHC17 OS=Mus musculus OX=10090 GN=Zdhhc17 PE=1 SV=2"
"3371","P45591","Cofilin-2 OS=Mus musculus OX=10090 GN=Cfl2 PE=1 SV=1"
"3372","Q8R010","Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Mus musculus OX=10090 GN=Aimp2 PE=1 SV=2"
"3373","Q8VC31","Coiled-coil domain-containing protein 9 OS=Mus musculus OX=10090 GN=Ccdc9 PE=1 SV=1"
"3374","A2ADY9","Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1"
"3375","P28653","Biglycan OS=Mus musculus OX=10090 GN=Bgn PE=1 SV=1"
"3376","Q3UW53","Protein Niban OS=Mus musculus OX=10090 GN=Fam129a PE=1 SV=2"
"3377","Q6P9N1","Hyccin OS=Mus musculus OX=10090 GN=Fam126a PE=1 SV=3"
"3378","P22315","Ferrochelatase, mitochondrial OS=Mus musculus OX=10090 GN=Fech PE=1 SV=2"
"3379","P62137","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Mus musculus OX=10090 GN=Ppp1ca PE=1 SV=1"
"3380","A2A5Z6","E3 ubiquitin-protein ligase SMURF2 OS=Mus musculus OX=10090 GN=Smurf2 PE=1 SV=1"
"3381","P62281","40S ribosomal protein S11 OS=Mus musculus OX=10090 GN=Rps11 PE=1 SV=3"
"3382","Q64430","Copper-transporting ATPase 1 OS=Mus musculus OX=10090 GN=Atp7a PE=1 SV=3"
"3383","Q64008","Ras-related protein Rab-34 OS=Mus musculus OX=10090 GN=Rab34 PE=1 SV=2"
"3384","Q9CWX9","Probable ATP-dependent RNA helicase DDX47 OS=Mus musculus OX=10090 GN=Ddx47 PE=2 SV=2"
"3385","Q8QZR5","Alanine aminotransferase 1 OS=Mus musculus OX=10090 GN=Gpt PE=1 SV=3"
"3386","Q07797","Galectin-3-binding protein OS=Mus musculus OX=10090 GN=Lgals3bp PE=1 SV=1"
"3387","A2AUM9","Centrosomal protein of 152 kDa OS=Mus musculus OX=10090 GN=Cep152 PE=1 SV=1"
"3388","Q8K596","Sodium/calcium exchanger 2 OS=Mus musculus OX=10090 GN=Slc8a2 PE=1 SV=1"
"3389","Q922Z1","Promethin OS=Mus musculus OX=10090 GN=Tmem159 PE=2 SV=1"
"3390","Q9Z1W8","Potassium-transporting ATPase alpha chain 2 OS=Mus musculus OX=10090 GN=Atp12a PE=1 SV=3"
"3391","cRAP005","Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1"
"3392","P29391","Ferritin light chain 1 OS=Mus musculus OX=10090 GN=Ftl1 PE=1 SV=2"
"3393","Q8CC27","Voltage-dependent L-type calcium channel subunit beta-2 OS=Mus musculus OX=10090 GN=Cacnb2 PE=1 SV=1"
"3394","P60843","Eukaryotic initiation factor 4A-I OS=Mus musculus OX=10090 GN=Eif4a1 PE=1 SV=1"
"3395","Q9QZC2","Plexin-C1 OS=Mus musculus OX=10090 GN=Plxnc1 PE=1 SV=1"
"3396","Q8CI71","Syndetin OS=Mus musculus OX=10090 GN=Vps50 PE=1 SV=2"
"3397","Q8QZY2","Glycerate kinase OS=Mus musculus OX=10090 GN=Glyctk PE=1 SV=1"
"3398","Q3UQ84","Threonine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Tars2 PE=1 SV=1"
"3399","Q3U9G9","Delta(14)-sterol reductase OS=Mus musculus OX=10090 GN=Lbr PE=1 SV=2"
"3400","P07742","Ribonucleoside-diphosphate reductase large subunit OS=Mus musculus OX=10090 GN=Rrm1 PE=1 SV=2"
"3401","P60879","Synaptosomal-associated protein 25 OS=Mus musculus OX=10090 GN=Snap25 PE=1 SV=1"
"3402","P28700","Retinoic acid receptor RXR-alpha OS=Mus musculus OX=10090 GN=Rxra PE=1 SV=1"
"3403","Q04888","Transcription factor SOX-10 OS=Mus musculus OX=10090 GN=Sox10 PE=1 SV=2"
"3404","Q78IK4","MICOS complex subunit Mic27 OS=Mus musculus OX=10090 GN=Apool PE=1 SV=1"
"3405","Q9Z2Q2","Lysine-rich nucleolar protein 1 OS=Mus musculus OX=10090 GN=Knop1 PE=1 SV=2"
"3406","P08043","Zinc finger protein 2 OS=Mus musculus OX=10090 GN=Zfp2 PE=2 SV=2"
"3407","P46061","Ran GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rangap1 PE=1 SV=2"
"3408","O55126","Protein NipSnap homolog 2 OS=Mus musculus OX=10090 GN=Nipsnap2 PE=1 SV=1"
"3409","Q3UMB9","WASH complex subunit 4 OS=Mus musculus OX=10090 GN=Washc4 PE=1 SV=2"
"3410","P17532","Tryptophan 5-hydroxylase 1 OS=Mus musculus OX=10090 GN=Tph1 PE=2 SV=1"
"3411","Q6NSQ7","Protein LTV1 homolog OS=Mus musculus OX=10090 GN=Ltv1 PE=1 SV=2"
"3412","Q99P87","Resistin OS=Mus musculus OX=10090 GN=Retn PE=1 SV=1"
"3413","Q62048","Astrocytic phosphoprotein PEA-15 OS=Mus musculus OX=10090 GN=Pea15 PE=1 SV=1"
"3414","Q91ZN5","Adenosine 3'-phospho 5'-phosphosulfate transporter 1 OS=Mus musculus OX=10090 GN=Slc35b2 PE=1 SV=1"
"3415","P13011","Acyl-CoA desaturase 2 OS=Mus musculus OX=10090 GN=Scd2 PE=1 SV=2"
"3416","cRAP113","Ubiquitin-conjugating enzyme E2 E1 OS=Homo sapiens GN=UBE2E1 PE=1 SV=1"
"3417","Q64337","Sequestosome-1 OS=Mus musculus OX=10090 GN=Sqstm1 PE=1 SV=1"
"3418","O35711","Liprin-beta-2 OS=Mus musculus OX=10090 GN=Ppfibp2 PE=1 SV=3"
"3419","Q9D924","Iron-sulfur cluster assembly 1 homolog, mitochondrial OS=Mus musculus OX=10090 GN=Isca1 PE=2 SV=1"
"3420","P23475","X-ray repair cross-complementing protein 6 OS=Mus musculus OX=10090 GN=Xrcc6 PE=1 SV=5"
"3421","Q6A0A2","La-related protein 4B OS=Mus musculus OX=10090 GN=Larp4b PE=1 SV=2"
"3422","Q9CPT4","Myeloid-derived growth factor OS=Mus musculus OX=10090 GN=Mydgf PE=1 SV=1"
"3423","Q9JJV2","Profilin-2 OS=Mus musculus OX=10090 GN=Pfn2 PE=1 SV=3"
"3424","Q8BJ03","Cytochrome c oxidase assembly protein COX15 homolog OS=Mus musculus OX=10090 GN=Cox15 PE=1 SV=1"
"3425","Q8VE95","UPF0598 protein C8orf82 homolog OS=Mus musculus OX=10090 PE=1 SV=1"
"3426","Q9Z188","Dual specificity tyrosine-phosphorylation-regulated kinase 1B OS=Mus musculus OX=10090 GN=Dyrk1b PE=1 SV=3"
"3427","Q3TWN3","Metal transporter CNNM2 OS=Mus musculus OX=10090 GN=Cnnm2 PE=1 SV=3"
"3428","Q8R0P4","Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1"
"3429","Q9JI19","Acidic fibroblast growth factor intracellular-binding protein OS=Mus musculus OX=10090 GN=Fibp PE=1 SV=1"
"3430","P26350","Prothymosin alpha OS=Mus musculus OX=10090 GN=Ptma PE=1 SV=2"
"3431","Q8VHZ7","U3 small nucleolar ribonucleoprotein protein IMP4 OS=Mus musculus OX=10090 GN=Imp4 PE=2 SV=1"
"3432","Q3U1T9","DENN domain-containing protein 1B OS=Mus musculus OX=10090 GN=Dennd1b PE=1 SV=3"
"3433","Q99PN3","Tripartite motif-containing protein 26 OS=Mus musculus OX=10090 GN=Trim26 PE=2 SV=3"
"3434","P0C8B4","EKC/KEOPS complex subunit GON7 OS=Mus musculus OX=10090 GN=Gon7 PE=3 SV=1"
"3435","Q9QZH6","Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial OS=Mus musculus OX=10090 GN=Ecsit PE=1 SV=2"
"3436","Q99LH9","SH3 domain-binding protein 5-like OS=Mus musculus OX=10090 GN=Sh3bp5l PE=1 SV=1"
"3437","Q03265","ATP synthase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1a PE=1 SV=1"
"3438","Q61694","NADPH-dependent 3-keto-steroid reductase Hsd3b5 OS=Mus musculus OX=10090 GN=Hsd3b5 PE=1 SV=4"
"3439","Q8VE22","28S ribosomal protein S23, mitochondrial OS=Mus musculus OX=10090 GN=Mrps23 PE=1 SV=1"
"3440","Q9WTX2","Interferon-inducible double-stranded RNA-dependent protein kinase activator A OS=Mus musculus OX=10090 GN=Prkra PE=1 SV=1"
"3441","Q8VI59","Pecanex-like protein 3 OS=Mus musculus OX=10090 GN=Pcnx3 PE=1 SV=2"
"3442","Q9CQP2","Trafficking protein particle complex subunit 2 OS=Mus musculus OX=10090 GN=Trappc2 PE=1 SV=1"
"3443","Q9ESJ0","Exportin-4 OS=Mus musculus OX=10090 GN=Xpo4 PE=1 SV=2"
"3444","Q9WVF7","DNA polymerase epsilon catalytic subunit A OS=Mus musculus OX=10090 GN=Pole PE=1 SV=3"
"3445","Q6PAM0","5'-AMP-activated protein kinase subunit beta-2 OS=Mus musculus OX=10090 GN=Prkab2 PE=1 SV=1"
"3446","Q62108","Disks large homolog 4 OS=Mus musculus OX=10090 GN=Dlg4 PE=1 SV=1"
"3447","P70441","Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Mus musculus OX=10090 GN=Slc9a3r1 PE=1 SV=3"
"3448","Q9WU20","Methylenetetrahydrofolate reductase OS=Mus musculus OX=10090 GN=Mthfr PE=1 SV=2"
"3449","O70161","Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma OS=Mus musculus OX=10090 GN=Pip5k1c PE=1 SV=2"
"3450","Q80VQ0","Aldehyde dehydrogenase family 3 member B1 OS=Mus musculus OX=10090 GN=Aldh3b1 PE=1 SV=1"
"3451","O55023","Inositol monophosphatase 1 OS=Mus musculus OX=10090 GN=Impa1 PE=1 SV=1"
"3452","Q9DB00","GON-4-like protein OS=Mus musculus OX=10090 GN=Gon4l PE=1 SV=3"
"3453","P20108","Thioredoxin-dependent peroxide reductase, mitochondrial OS=Mus musculus OX=10090 GN=Prdx3 PE=1 SV=1"
"3454","Q9CPR1","RWD domain-containing protein 4 OS=Mus musculus OX=10090 GN=Rwdd4 PE=2 SV=1"
"3455","Q3UJV1","Coiled-coil domain-containing protein 61 OS=Mus musculus OX=10090 GN=Ccdc61 PE=1 SV=1"
"3456","Q8CI96","CAP-Gly domain-containing linker protein 4 OS=Mus musculus OX=10090 GN=Clip4 PE=1 SV=1"
"3457","Q9CQ37","Ubiquitin-conjugating enzyme E2 T OS=Mus musculus OX=10090 GN=Ube2t PE=1 SV=1"
"3458","Q8K2X3","CST complex subunit STN1 OS=Mus musculus OX=10090 GN=Stn1 PE=1 SV=2"
"3459","P35288","Ras-related protein Rab-23 OS=Mus musculus OX=10090 GN=Rab23 PE=1 SV=2"
"3460","Q9WUU7","Cathepsin Z OS=Mus musculus OX=10090 GN=Ctsz PE=1 SV=1"
"3461","P81615","Urocortin OS=Mus musculus OX=10090 GN=Ucn PE=1 SV=1"
"3462","Q99MV1","Tudor domain-containing protein 1 OS=Mus musculus OX=10090 GN=Tdrd1 PE=1 SV=2"
"3463","P06537","Glucocorticoid receptor OS=Mus musculus OX=10090 GN=Nr3c1 PE=1 SV=1"
"3464","Q9CQ79","Thioredoxin domain-containing protein 9 OS=Mus musculus OX=10090 GN=Txndc9 PE=1 SV=1"
"3465","Q5FWK3","Rho GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Arhgap1 PE=1 SV=1"
"3466","Q9R0A0","Peroxisomal membrane protein PEX14 OS=Mus musculus OX=10090 GN=Pex14 PE=1 SV=1"
"3467","Q91YL2","E3 ubiquitin-protein ligase RNF126 OS=Mus musculus OX=10090 GN=Rnf126 PE=1 SV=1"
"3468","Q9DBJ1","Phosphoglycerate mutase 1 OS=Mus musculus OX=10090 GN=Pgam1 PE=1 SV=3"
"3469","Q9CQZ0","ORM1-like protein 2 OS=Mus musculus OX=10090 GN=Ormdl2 PE=1 SV=1"
"3470","Q62190","Macrophage-stimulating protein receptor OS=Mus musculus OX=10090 GN=Mst1r PE=1 SV=3"
"3471","Q8K2C6","NAD-dependent protein deacylase sirtuin-5, mitochondrial OS=Mus musculus OX=10090 GN=Sirt5 PE=1 SV=1"
"3472","Q8VDB2","Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase OS=Mus musculus OX=10090 GN=Alg12 PE=2 SV=2"
"3473","Q02525","Zinc finger protein 39 OS=Mus musculus OX=10090 GN=Zfp39 PE=2 SV=2"
"3474","Q6ZWU9","40S ribosomal protein S27 OS=Mus musculus OX=10090 GN=Rps27 PE=1 SV=3"
"3475","Q811P8","Rho GTPase-activating protein 32 OS=Mus musculus OX=10090 GN=Arhgap32 PE=1 SV=2"
"3476","Q8BRT1","CLIP-associating protein 2 OS=Mus musculus OX=10090 GN=Clasp2 PE=1 SV=1"
"3477","P97817","Cerebellar degeneration-related protein 2 OS=Mus musculus OX=10090 GN=Cdr2 PE=1 SV=2"
"3478","Q8C428","Transmembrane channel-like protein 7 OS=Mus musculus OX=10090 GN=Tmc7 PE=2 SV=1"
"3479","Q920M5","Coronin-6 OS=Mus musculus OX=10090 GN=Coro6 PE=1 SV=1"
"3480","Q91WG4","Elongator complex protein 2 OS=Mus musculus OX=10090 GN=Elp2 PE=1 SV=1"
"3481","Q9D3R6","Katanin p60 ATPase-containing subunit A-like 2 OS=Mus musculus OX=10090 GN=Katnal2 PE=2 SV=2"
"3482","P19536","Cytochrome c oxidase subunit 5B, mitochondrial OS=Mus musculus OX=10090 GN=Cox5b PE=1 SV=1"
"3483","Q4U4S6","Xin actin-binding repeat-containing protein 2 OS=Mus musculus OX=10090 GN=Xirp2 PE=1 SV=1"
"3484","Q8VEB4","Group XV phospholipase A2 OS=Mus musculus OX=10090 GN=Pla2g15 PE=1 SV=1"
"3485","Q7TMQ7","WD repeat-containing protein 91 OS=Mus musculus OX=10090 GN=Wdr91 PE=1 SV=1"
"3486","Q8VDM6","Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Mus musculus OX=10090 GN=Hnrnpul1 PE=1 SV=1"
